Sample #,Sampled At,Sampled From,Declared Common Name,Species Declared on the Label,State of Origin,Sample Assessment,Year,isMislabeled
2021FFI-0000008142-193,Import - Importation,ON,Snapper,Lutjanidae Scorpaenidae,Indonesia,U-I,2021,1
2021FFI-0000008142-194,Import - Importation,ON,Sole,Not Declared - Non Déclarée,China,S,2021,0
2021FFI-0000008142-195,Import - Importation,QC,Sole,Not Declared - Non Déclarée,China,S,2021,0
2021FFI-0000008142-196,Import - Importation,ON,Sole,Limanda Aspera,China,S,2021,0
2021FFI-0000008142-197,Import - Importation,ON,Sole,Not Declared - Non Déclarée,China,S,2021,0
2021FFI-0000008142-198,Retail - Vente au détail,MB,Sole,Not Declared - Non Déclarée,Canada,S,2021,0
2021FFI-0000008142-199,Retail - Vente au détail,BC,Sole ,Not Declared - Non Déclarée,Canada,S,2021,0
2021FFI-0000008142-200,Retail - Vente au détail,ON,Sole ,Hippoglossoides Elassodon,Canada,ND-AD,2021,0
2021FFI-0000008142-201,Retail - Vente au détail,SK,Sole,Not Declared - Non Déclarée,Canada,S,2021,0
2021FFI-0000008142-202,Retail - Vente au détail,ON,Sole,Not Declared - Non Déclarée,Canada,S,2021,0
2021FFI-0000008142-203,Retail - Vente au détail,NL,Sole,Not Declared - Non Déclarée,Not Declared,S,2021,0
2021FFI-0000008142-204,Retail - Vente au détail,NB,Sole,Not Declared - Non Déclarée,Canada,S,2021,0
2021FFI-0000008142-205,Import - Importation,ON,"Sole, Flathead ",Hippoglossoides Elassodon,China,U-I,2021,1
2021FFI-0000008142-206,Retail - Vente au détail,ON,"Sole, Pacific",Not Declared - Non Déclarée,Canada,S,2021,0
2021FFI-0000008142-207,Retail - Vente au détail,ON,Tilapia ,Not Declared - Non Déclarée,Canada,S,2021,0
2021FFI-0000008142-208,Import - Importation,AB,Tuna,Scombridae,Thailand,U-I,2021,1
2021FFI-0000008142-209,Import - Importation,BC,"Tuna, Albacore",Thunnus Alalunga/Thunnus Germo,Indonesia,S,2021,0
2021FFI-0000008142-210,Domestic - Domestique,BC,"Tuna, Albacore ",Thunnus Alalunga/Thunnus Germo,Canada,S,2021,0
2021FFI-0000008142-211,Retail - Vente au détail,BC,"Tuna, Albacore ",Not Declared - Non Déclarée,Canada,S,2021,0
2021FFI-0000008142-212,Domestic - Domestique,BC,"Tuna, Albacore ",Thunnus Alalunga/Thunnus Germo,Canada,S,2021,0
2021FFI-0000008142-213,Import - Importation,BC,"Tuna, Yellowfin ",Thunnus Albacares,Philippines,S,2021,0
2021FFI-0000008142-214,Retail - Vente au détail,BC,"Tuna, Yellowfin ",Not Declared - Non Déclarée,Vietnam,S,2021,0
2019FCP-0000024391-4,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-5,Retail - Vente au détail,AB,ROCKFISH,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-6,Retail - Vente au détail,AB,"SALMON, COHO",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-7,Imports - Importation,BC,"COD, PACIFIC",Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-8,Imports - Importation,BC,LINGCOD,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-9,Retail - Vente au détail,AB,COD,Not Declared - Non déclarée,Iceland,S,2019,0
2019FCP-0000024391-10,Retail - Vente au détail,AB,HADDOCK,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-11,Retail - Vente au détail,AB,"SNAPPER, PACIFIC RED",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-12,Retail - Vente au détail,AB,COD,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-13,Imports - Importation,BC,HALIBUT,Not Declared - Non déclarée,Russian Federation,S,2019,0
2019FCP-0000024391-14,Retail - Vente au détail,NL,"HALIBUT, ATLANTIC",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-15,Imports - Importation,BC,"SALMON, CHUM",Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-16,Imports - Importation,BC,SABLEFISH (BLACK COD),Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-17,Imports - Importation,BC,"SALMON, SOCKEYE",Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-18,Imports - Importation,BC,SABLEFISH (BLACK COD),Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-19,Imports - Importation,BC,"COD, PACIFIC",Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-20,Retail - Vente au détail,NL,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-21,Retail - Vente au détail,AB,SEABASS COLLARS,Not Declared - Non déclarée,Chile,U-I,2019,1
2019FCP-0000024391-22,Retail - Vente au détail,AB,RED SNAPPER,Not Declared - Non déclarée,Canada,ND-AD,2019,0
2019FCP-0000024391-23,Retail - Vente au détail,AB,HALIBUT,Not Declared - Non déclarée,Not Declared,S,2019,0
2019FCP-0000024391-24,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-25,Retail - Vente au détail,AB,COD,Not Declared - Non déclarée,Not Declared,S,2019,0
2019FCP-0000024391-26,Retail - Vente au détail,AB,KINGFISH,Not Declared - Non déclarée,Taiwan,U-I,2019,1
2019FCP-0000024391-27,Retail - Vente au détail,AB,HALIBUT,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-28,Retail - Vente au détail,PE,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-29,Retail - Vente au détail,AB,SEA BASS,Not Declared - Non déclarée,Chile,U-I,2019,1
2019FCP-0000024391-30,Imports - Importation,NB,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-31,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-32,Retail - Vente au détail,ON,TILAPIA,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-33,Retail - Vente au détail,ON,"TROUT, RAINBOW",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-34,Retail - Vente au détail,ON,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-35,Retail - Vente au détail,ON,BASA,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-36,Retail - Vente au détail,ON,"TUNA, YELLOWFIN",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-37,Retail - Vente au détail,ON,RED SNAPPER,Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-38,Retail - Vente au détail,BC,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-39,Retail - Vente au détail,NS,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-40,Retail - Vente au détail,NS,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-41,Retail - Vente au détail,ON,"SNAPPER, RED",Not Declared - Non déclarée,Canada,ND-AD,2019,0
2019FCP-0000024391-42,Imports - Importation,NB,"COD, PACIFIC",Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-43,Retail - Vente au détail,ON,HADDOCK,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-44,Retail - Vente au détail,ON,"HALIBUT, ATLANTIC",Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-45,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-46,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-47,Retail - Vente au détail,NL,"TUNA, YELLOWFIN",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-48,Retail - Vente au détail,ON,"COD, PACIFIC",Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-49,Retail - Vente au détail,ON,"TROUT, RAINBOW",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-50,Retail - Vente au détail,ON,"TUNA, YELLOWFIN",Not Declared - Non déclarée,Indonesia,S,2019,0
2019FCP-0000024391-51,Retail - Vente au détail,ON,CHILEAN SEABASS,Not Declared - Non déclarée,Chile,U-I,2019,1
2019FCP-0000024391-52,Retail - Vente au détail,ON,"TOOTHFISH, ANTARTIC",Not Declared - Non déclarée,Falkland Islands,S,2019,0
2019FCP-0000024391-53,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Iceland,U-I,2019,1
2019FCP-0000024391-54,Retail - Vente au détail,ON,HADDOCK,Not Declared - Non déclarée,Iceland,S,2019,0
2019FCP-0000024391-55,Retail - Vente au détail,NS,"SALMON, ATLANTIC",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-56,Retail - Vente au détail,NS,SWORDFISH,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-57,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-58,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-59,Retail - Vente au détail,NL,TUNA,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-60,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-61,Retail - Vente au détail,ON,KINGFISH,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-62,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-63,Retail - Vente au détail,ON,"COD, PACIFIC",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-64,Domestic - Domestique,NB,"CHAR, ARCTIC",SALVELINUS ALPINUS,Canada,S,2019,0
2019FCP-0000024391-65,Domestic - Domestique,NS,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-66,Domestic - Domestique,BC,"SALMON, SOCKEYE",ONCORHYNCHUS NERKA,Canada,S,2019,0
2019FCP-0000024391-67,Imports - Importation,QC,HADDOCK,MELANOGRAMMUS AEGLEFINUS,China,S,2019,0
2019FCP-0000024391-68,Imports - Importation,QC,TUNA,SCOMBRIDAE,Mauritius,S,2019,0
2019FCP-0000024391-69,Imports - Importation,QC,"SALMON, PINK",ONCORHYNCHUS GORBUSCHA,China,S,2019,0
2019FCP-0000024391-70,Imports - Importation,QC,"BASS, SEA",DICENTRARCHUS LABRAX,Greece,S,2019,0
2019FCP-0000024391-71,Imports - Importation,QC,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-72,Domestic - Domestique,NB,"CHAR, ARCTIC",SALVELINUS ALPINUS,Canada,S,2019,0
2019FCP-0000024391-73,Domestic - Domestique,QC,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-74,Domestic - Domestique,QC,"SALMON, ATLANTIC",SALMO SALAR,Canada,S,2019,0
2019FCP-0000024391-75,Domestic - Domestique,NB,"CHAR, ARCTIC",SALVELINUS ALPINUS,Canada,S,2019,0
2019FCP-0000024391-76,Domestic - Domestique,NS,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-77,Imports - Importation,QC,AMBERJACK,CARANGIDAE SERIOLA SPP.,United States,S,2019,0
2019FCP-0000024391-78,Domestic - Domestique,NB,"TROUT, RAINBOW",ONCORHYNCHUS MYKISS,Canada,S,2019,0
2019FCP-0000024391-79,Domestic - Domestique,BC,"TUNA, ALBACORE",THUNNUS ALALUNGA/THUNNUS GERMO,Canada,S,2019,0
2019FCP-0000024391-80,Domestic - Domestique,BC,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,Canada,S,2019,0
2019FCP-0000024391-81,Imports - Importation,NB,"SALMON, ATLANTIC",SALMO SALAR,Scotland - UK,S,2019,0
2019FCP-0000024391-82,Domestic - Domestique,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-83,Imports - Importation,QC,SOLE,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-84,Imports - Importation,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-85,Imports - Importation,QC,"COD, PACIFIC", GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-86,Imports - Importation,QC,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-87,Imports - Importation,QC,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Iceland,S,2019,0
2019FCP-0000024391-88,Imports - Importation,QC,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-89,Domestic - Domestique,QC,"CHAR, ARCTIC",SALVELINUS ALPINUS,Canada,S,2019,0
2019FCP-0000024391-90,Imports - Importation,QC,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-91,Imports - Importation,QC,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Iceland,S,2019,0
2019FCP-0000024391-92,Domestic - Domestique,BC,"TUNA, ALBACORE",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-93,Domestic - Domestique,NB,"CHAR, ARCTIC",SALVELINUS ALPINUS,Canada,S,2019,0
2019FCP-0000024391-94,Imports - Importation,MB,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-95,Domestic - Domestique,BC,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,Canada,S,2019,0
2019FCP-0000024391-96,Domestic - Domestique,ON,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,Canada,U-I,2019,1
2019FCP-0000024391-97,Domestic - Domestique,ON,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-98,Imports - Importation,ON,"BASS, SEA",DICENTRARCHUS LABRAX,Greece,ND-AD,2019,0
2019FCP-0000024391-99,Imports - Importation,ON,"COD, PACIFIC", GADUS MACROCEPHALUS,China,S,2019,0
2019FCP-0000024391-100,Imports - Importation,NB,COD,GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-101,Domestic - Domestique,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-102,Domestic - Domestique,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-103,Domestic - Domestique,NL,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-104,Domestic - Domestique,NL,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-105,Imports - Importation,ON,COD,Not Declared - Non déclarée,Turkey,ND-AD,2019,0
2019FCP-0000024391-106,Imports - Importation,ON,"COD, PACIFIC",GADUS MACROCEPHALUS,China,S,2019,0
2019FCP-0000024391-107,Imports - Importation,BC,"MACKEREL, NARROW-BARRED SPANISH",SCOMBEROMORUS COMMERSON,Taiwan,U-I,2019,1
2019FCP-0000024391-108,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,ND-AD,2019,0
2019FCP-0000024391-109,Imports - Importation,BC,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-110,Imports - Importation,NS,"COD, PACIFIC",GADUS MACROCEPHALUS,China,S,2019,0
2019FCP-0000024391-111,Domestic - Domestique,NS,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-112,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-113,Domestic - Domestique,NB,"CHAR, ARCTIC",SALVELINUS ALPINUS,Canada,S,2019,0
2019FCP-0000024391-114,Domestic - Domestique,NS,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-115,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-116,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-117,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-118,Imports - Importation,NS,COD,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-119,Domestic - Domestique,NB,"STURGEON, ATLANTIC",ACIPENSER OXYRHYNCHUS,Canada,S,2019,0
2019FCP-0000024391-120,Domestic - Domestique,AB,"SALMON, ATLANTIC",SALMO SALAR,Canada,S,2019,0
2019FCP-0000024391-121,Imports - Importation,ON,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-122,Retail - Vente au détail,BC,DOVER SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-123,Imports - Importation,NS,"SALMON, ATLANTIC",SALMO SALAR,Denmark,S,2019,0
2019FCP-0000024391-124,Imports - Importation,NS,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Panama,S,2019,0
2019FCP-0000024391-125,Imports - Importation,BC,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,United States,S,2019,0
2019FCP-0000024391-126,Imports - Importation,NS,COD,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-127,Imports - Importation,BC,COD,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-128,Domestic - Domestique,SK,ROCKFISH,SEBASTES SPP.,Canada,S,2019,0
2019FCP-0000024391-129,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-130,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-131,Imports - Importation,NS,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-132,Imports - Importation,QC,MAHI-MAHI,CORYPHAENA,Panama,S,2019,0
2019FCP-0000024391-133,Imports - Importation,QC,"SALMON, ATLANTIC",SALMO SALAR,Chile,S,2019,0
2019FCP-0000024391-134,Imports - Importation,QC,"SALMON, ATLANTIC",SALMO SALAR,Chile,S,2019,0
2019FCP-0000024391-135,Imports - Importation,QC,AMBERJACK ,SERIOLA QUINQUERADIATA,Japan,S,2019,0
2019FCP-0000024391-136,Domestic - Domestique,NB,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-137,Domestic - Domestique,NB,"HALIBUT, ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS,Canada,S,2019,0
2019FCP-0000024391-138,Imports - Importation,PE,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-139,Domestic - Domestique,QC,"HALIBUT, PACIFIC ",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-140,Imports - Importation,NS,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-141,Domestic - Domestique,NS,"SALMON, ATLANTIC",SALMO SALAR,Canada,S,2019,0
2019FCP-0000024391-142,Imports - Importation,NS,COD,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-143,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-144,Domestic - Domestique,NS,POLLOCK,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-145,Imports - Importation,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,China,S,2019,0
2019FCP-0000024391-146,Imports - Importation,AB,"COD, PACIFIC",GADUS MACROCEPHALUS,China,S,2019,0
2019FCP-0000024391-147,Imports - Importation,BC,"COD, ATLANTIC",GADUS MORHUA,Portugal,S,2019,0
2019FCP-0000024391-148,Domestic - Domestique,SK,"SALMON, ATLANTIC",SALMO SALAR,Canada,S,2019,0
2019FCP-0000024391-149,Imports - Importation,SK,HALIBUT,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-150,Imports - Importation,SK,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Vietnam,S,2019,0
2019FCP-0000024391-151,Imports - Importation,NB,"COD, ATLANTIC",GADUS MORHUA,Norway,S,2019,0
2019FCP-0000024391-152,Imports - Importation,NB,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-153,Imports - Importation,NB,TUNA,Not Declared - Non déclarée,Vietnam,S,2019,0
2019FCP-0000024391-154,Domestic - Domestique,NB,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-155,Retail - Vente au détail,QC,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-156,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-157,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-158,Retail - Vente au détail,QC,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-159,Retail - Vente au détail,QC,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Canada,S,2019,0
2019FCP-0000024391-160,Retail - Vente au détail,QC,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-161,Retail - Vente au détail,QC,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Canada,S,2019,0
2019FCP-0000024391-162,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-163,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-164,Retail - Vente au détail,QC,"SOLE, PACIFIC DOVER",MICROSTOMUS PACIFICUS,Canada,S,2019,0
2019FCP-0000024391-165,Retail - Vente au détail,QC,"SOLE, PACIFIC DOVER",MICROSTOMUS PACIFICUS,Canada,S,2019,0
2019FCP-0000024391-166,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-167,Imports - Importation,NS,COD,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-168,Imports - Importation,NS,COD,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-169,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-170,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-171,Retail - Vente au détail,QC,"SOLE, FLATHEAD",HIPPOGLOSSOIDES ELASSODON,Canada,ND-AD,2019,0
2019FCP-0000024391-172,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
