Sample #,Sampled At,Sampled From,Declared Common Name,Species Declared on the Label,State of Origin,Sample Assessment,Year,isMislabeled
2019FCP-0000024391-173,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-174,Retail - Vente au détail,QC,"FLOUNDER, YELLOWTAIL",LIMANDA FERRUGINEA,Canada,S,2019,0
2019FCP-0000024391-175,Imports - Importation,BC,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,United States,S,2019,0
2019FCP-0000024391-176,Retail - Vente au détail,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-177,Retail - Vente au détail,Qc,"SOLE, FLATHEAD",HIPPOGLOSSOIDES ELASSODON,Canada,S,2019,0
2019FCP-0000024391-178,Retail - Vente au détail,QC,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-179,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-180,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-181,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-182,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-183,Retail - Vente au détail,NL,HADDOCK,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-184,Retail - Vente au détail,NL,"TUNA, YELLOWFIN",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-185,Retail - Vente au détail,NS,"COD, ATLANTIC",Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-186,Retail - Vente au détail,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-187,Retail - Vente au détail,BC,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-188,Retail - Vente au détail,ON,"COD, PACIFIC",Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-189,Retail - Vente au détail,BC,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-190,Retail - Vente au détail,MB,COD,Not Declared - Non déclarée,Iceland,S,2019,0
2019FCP-0000024391-191,Retail - Vente au détail,NS,HADDOCK,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-192,Retail - Vente au détail,BC,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-193,Retail - Vente au détail,BC,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-194,Retail - Vente au détail,BC,ROCKFISH,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-195,Retail - Vente au détail,BC,SABLEFISH (BLACK COD),Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-196,Retail - Vente au détail,BC,"SNAPPER, RED",Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-197,Retail - Vente au détail,BC,SALMON,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-198,Retail - Vente au détail,BC,"BASS, SEA",Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-199,Retail - Vente au détail,BC,POLLOCK,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-200,Retail - Vente au détail,BC,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-201,Retail - Vente au détail,BC,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-202,Retail - Vente au détail,BC,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-203,Retail - Vente au détail,BC,SABLEFISH (BLACK COD),Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-204,Retail - Vente au détail,BC,SABLEFISH (BLACK COD),Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-205,Imports - Importation,NB,ASIAN SEABASS,LATEOLABRAX JAPONICUS,China,S,2019,0
2019FCP-0000024391-206,Retail - Vente au détail,BC,ROCKFISH,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-207,Retail - Vente au détail,BC,SALMON,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-208,Retail - Vente au détail,BC,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-209,Retail - Vente au détail,BC,SNAPPER,LUTJANIDAE,Canada,S,2019,0
2019FCP-0000024391-210,Retail - Vente au détail,BC,SABLEFISH (BLACK COD),ANOPLOPOMA FIMBRIA,Canada,S,2019,0
2019FCP-0000024391-211,Retail - Vente au détail,BC,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-212,Retail - Vente au détail,BC,SNAPPER,LUTJANIDAE,Canada,S,2019,0
2019FCP-0000024391-213,Retail - Vente au détail,BC,KINGFISH,SCOMBEROMORUS CAVALLA,Canada,U-I,2019,1
2019FCP-0000024391-214,Retail - Vente au détail,BC,MILKFISH,CHANOS CHANOS,Canada,S,2019,0
2019FCP-0000024391-215,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-216,Imports - Importation,BC,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-217,Imports - Importation,ON,COD,Not Declared - Non déclarée,Norway,S,2019,0
2019FCP-0000024391-218,Imports - Importation,ON,"SNAPPER, RED",LUTJANUS CAMPECHANUS,Guyana,S,2019,0
2019FCP-0000024391-219,Imports - Importation,ON,"SNAPPER, LANE",LUTJANUS SYNAGRIS,Guyana,S,2019,0
2019FCP-0000024391-220,Imports - Importation,ON,KINGFISH,SCOMBEROMORUS CAVALLA,Guyana,S,2019,0
2019FCP-0000024391-221,Imports - Importation,AB,TILAPIA,Not Declared - Non déclarée,Indonesia,S,2019,0
2019FCP-0000024391-222,Retail - Vente au détail,MB,COD,Not Declared - Non déclarée,Iceland,S,2019,0
2019FCP-0000024391-223,Domestic - Domestique,NB,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-224,Retail - Vente au détail,ON,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,Canada,U-I,2019,1
2019FCP-0000024391-225,Domestic - Domestique,NB,COD,GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-226,Domestic - Domestique,NB,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-227,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-228,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-229,Retail - Vente au détail,ON,"COD, ATLANTIC",GADUS MORHUA,Canada,U-I,2019,1
2019FCP-0000024391-230,Retail - Vente au détail,ON,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-231,Domestic - Domestique,AB,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Canada,S,2019,0
2019FCP-0000024391-232,Domestic - Domestique,AB,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-233,Retail - Vente au détail,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-234,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,Norway,S,2019,0
2019FCP-0000024391-235,Imports - Importation,ON,"MACKEREL, NARROW-BARRED SPANISH",SCOMBEROMORUS COMMERSON,Indonesia,U-I,2019,1
2019FCP-0000024391-236,Domestic - Domestique,MB,"SALMON, PINK",ONCORHYNCHUS GORBUSCHA,Canada,S,2019,0
2019FCP-0000024391-237,Domestic - Domestique,MB,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Canada,S,2019,0
2019FCP-0000024391-238,Imports - Importation,ON,"TUNA, ALBACORE",THUNNUS ALALUNGA/THUNNUS GERMO,Indonesia,S,2019,0
2019FCP-0000024391-239,Imports - Importation,ON,"BASS, SEA",DICENTRARCHUS LABRAX,United Kingdom,U-I,2019,1
2019FCP-0000024391-240,Imports - Importation,ON,SOLE,Not Declared - Non déclarée,China,U-I,2019,1
2019FCP-0000024391-241,Imports - Importation,ON,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,China,S,2019,0
2019FCP-0000024391-242,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,Russian Federation,S,2019,0
2019FCP-0000024391-243,Retail - Vente au détail,ON,"COD, PACIFIC",GADUS MACROCEPHALUS,Iceland,U-I,2019,1
2019FCP-0000024391-244,Imports - Importation,ON,"SOLE, FLATHEAD",HIPPOGLOSSOIDES ELASSODON,Taiwan,S,2019,0
2019FCP-0000024391-245,Imports - Importation,QC,"SALMON, ATLANTIC",SALMO SALAR,Chile,S,2019,0
2019FCP-0000024391-246,Retail - Vente au détail,ON,KINGFISH,SCOMBEROMORUS CAVALLA,Taiwan,U-I,2019,1
2019FCP-0000024391-247,Imports - Importation,ON,"COD, PACIFIC",GADUS MACROCEPHALUS,China,S,2019,0
2019FCP-0000024391-248,Retail - Vente au détail,ON,SOLE,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-249,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-250,Retail - Vente au détail,ON,"BASS, SEA",DICENTRARCHUS LABRAX,Canada,U-I,2019,1
2019FCP-0000024391-251,Imports - Importation,ON,WAHOO /ONO,ACANTHOCYBIUM SOLAND,Taiwan,S,2019,0
2019FCP-0000024391-252,Imports - Importation,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,China,S,2019,0
2019FCP-0000024391-253,Imports - Importation,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,China,S,2019,0
2019FCP-0000024391-254,Imports - Importation,NB,BASA,PANGASIUS HYPOPHTHALMUS,Vietnam,S,2019,0
2019FCP-0000024391-255,Domestic - Domestique,NS,"TROUT, RAINBOW",ONCORHYNCHUS MYKISS,Canada,S,2019,0
2019FCP-0000024391-256,Imports - Importation,ON,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-257,Imports - Importation,ON,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-258,Imports - Importation,ON,COD,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-259,Imports - Importation,ON,COD,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-260,Retail - Vente au détail,ON,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-261,Imports - Importation,ON,WAHOO /ONO,ACANTHOCYBIUM SOLAND,Taiwan,S,2019,0
2019FCP-0000024391-262,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-263,Retail - Vente au détail,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-264,Retail - Vente au détail,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-265,Retail - Vente au détail,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-266,Retail - Vente au détail,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-267,Retail - Vente au détail,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-268,Imports - Importation,ON,ASIAN SEABASS,LATEOLABRAX JAPONICUS,Taïwan,S,2019,0
2019FCP-0000024391-269,Domestic - Domestique,MB,ROCKFISH,SEBASTES SPP.,Canada,S,2019,0
2019FCP-0000024391-270,Imports - Importation,ON,COD,Not Declared - Non déclarée,Republic of Korea,S,2019,0
2019FCP-0000024391-271,Retail - Vente au détail,NB,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-272,Retail - Vente au détail,NB,SNAPPER,Not Declared - Non déclarée,Vietnam,S,2019,0
2019FCP-0000024391-273,Retail - Vente au détail,SK,ROCKFISH,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-274,Retail - Vente au détail,SK,"SNAPPER, RED",LUTJANUS CAMPECHANUS,Indonesia,U-I,2019,1
2019FCP-0000024391-275,Imports - Importation,AB,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-276,Imports - Importation,AB,HALIBUT ,HIPPOGLOSSUS HIPPOGLOSSUS,Iceland,S,2019,0
2019FCP-0000024391-277,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-278,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-279,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-280,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-281,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-282,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-283,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-284,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-285,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,China,S,2019,0
2019FCP-0000024391-286,Domestic - Domestique,BC,"SOLE, PACIFIC DOVER",MICROSTOMUS PACIFICUS,Canada,S,2019,0
2019FCP-0000024391-287,Imports - Importation,ON,"HALIBUT, ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS,Norway,S,2019,0
2019FCP-0000024391-288,Imports - Importation,ON,"BASS, SEA",DICENTRARCHUS LABRAX,Turkey,ND-AD,2019,0
2019FCP-0000024391-289,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-290,Imports - Importation,ON,"SOLE, FLATHEAD",HIPPOGLOSSOIDES ELASSODON,China,S,2019,0
2019FCP-0000024391-291,Retail - Vente au détail,NB,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-292,Domestic - Domestique,ON,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-293,Imports - Importation,ON,SNAPPER,LUTJANIDAE,Costa Rica,S,2019,0
2019FCP-0000024391-294,Domestic - Domestique,ON,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-295,Imports - Importation,ON,"TOOTHFISH, PATAGONIAN",DISSOSTICHUS ELEGINOIDES,Greece,S,2019,0
2019FCP-0000024391-296,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-297,Imports - Importation,ON,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Marshall Islands,S,2019,0
2019FCP-0000024391-298,Imports - Importation,ON,AMBERJACK,SERIOLA QUINQUERADIATA,Japan,S,2019,0
2019FCP-0000024391-299,Imports - Importation,ON,"TUNA, BIGEYE",THUNNUS OBESUS,Japan,S,2019,0
2019FCP-0000024391-300,Domestic - Domestique,NB,COD,Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-301,Imports - Importation,ON,"BASS, SEA",DICENTRARCHUS LABRAX,Turkey,ND-AD,2019,0
2019FCP-0000024391-302,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Iceland,S,2019,0
2019FCP-0000024391-303,Imports - Importation,ON,TUNA,Not Declared - Non déclarée,Philippines,S,2019,0
2019FCP-0000024391-304,Imports - Importation,ON,"TOOTHFISH, PATAGONIAN",DISSOSTICHUS ELEGINOIDES,United Kingdom,U-I,2019,1
2019FCP-0000024391-305,Imports - Importation,ON,COD,Not Declared - Non déclarée,Netherlands,S,2019,0
2019FCP-0000024391-306,Imports - Importation,AB,"MACKEREL, NARROW-BARRED SPANISH",SCOMBEROMORUS COMMERSON,Vietnam,U-I,2019,1
2019FCP-0000024391-307,Imports - Importation,ON,"SALMON, SOCKEYE",ONCORHYNCHUS NERKA,United States,S,2019,0
2019FCP-0000024391-308,Domestic - Domestique,ON,"SALMON, ATLANTIC",SALMO SALAR,Canada,S,2019,0
2019FCP-0000024391-309,Domestic - Domestique,ON,"PICKEREL, YELLOW (WALLEYE)",SANDER VITREUS,Canada,S,2019,0
2019FCP-0000024391-310,Imports - Importation,ON,"BASS, SEA",DICENTRARCHUS LABRAX,Turkey,ND-AD,2019,0
2019FCP-0000024391-311,Imports - Importation,AB,COD,Not Declared - Non déclarée,Iceland,S,2019,0
2019FCP-0000024391-312,Imports - Importation,AB,SABLEFISH (BLACK COD),ANOPLOPOMA FIMBRIA,United States,S,2019,0
2019FCP-0000024391-313,Imports - Importation,AB,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-314,Imports - Importation,ON,KINGFISH,SCOMBEROMORUS CAVALLA,Taiwan,U-I,2019,1
2019FCP-0000024391-315,Domestic - Domestique,NS,POLLOCK,POLLACHIUS POLLACHIUS,Canada,S,2019,0
2019FCP-0000024391-316,Domestic - Domestique,ON,"PICKEREL, YELLOW (WALLEYE)",SANDER VITREUS,Canada,S,2019,0
2019FCP-0000024391-317,Domestic - Domestique,ON,"PERCH, YELLOW",PERCA FLAVESCENS,Canada,S,2019,0
2019FCP-0000024391-318,Imports - Importation,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,China,S,2019,0
2019FCP-0000024391-319,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-320,Imports - Importation,ON,"TUNA, BIGEYE",THUNNUS OBESUS,Portugal,S,2019,0
2019FCP-0000024391-321,Imports - Importation,BC,SABLEFISH (BLACK COD),ANOPLOPOMA FIMBRIA,United States,S,2019,0
2019FCP-0000024391-322,Imports - Importation,BC,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-323,Imports - Importation,BC,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,China,S,2019,0
2019FCP-0000024391-324,Domestic - Domestique,NS,COD,GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-325,Domestic - Domestique,NS,COD,Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-326,Imports - Importation,NS,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-327,Imports - Importation,BC,"SALMON, ATLANTIC",SALMO SALAR,Chile,S,2019,0
2019FCP-0000024391-328,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-329,Domestic - Domestique,NS,"HAKE, RED",UROPHYCIS CHUSS,Canada,S,2019,0
2019FCP-0000024391-330,Domestic - Domestique,NS,"HAKE, SILVER",MERLUCCIUS BILINEARIS,Canada,S,2019,0
2019FCP-0000024391-331,Domestic - Domestique,NS,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-332,Imports - Importation,BC,"SALMON, CHINOOK",ONCORHYNCHUS TSHAWYTSCHA,New Zealand,S,2019,0
2019FCP-0000024391-333,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-334,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-335,Retail - Vente au détail,QC,"FLOUNDER, YELLOWTAIL",LIMANDA FERRUGINEA,Canada,S,2019,0
2019FCP-0000024391-336,Retail - Vente au détail,QC,"HALIBUT, ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS,Canada,S,2019,0
2019FCP-0000024391-337,Retail - Vente au détail,QC,"HALIBUT, ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS,Canada,S,2019,0
2019FCP-0000024391-338,Retail - Vente au détail,QC,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-339,Retail - Vente au détail,QC,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-340,Retail - Vente au détail,QC,"SOLE, FLATHEAD",HIPPOGLOSSOIDES ELASSODON,United States,S,2019,0
2019FCP-0000024391-341,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-342,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-343,Retail - Vente au détail,QC,"COD, ATLANTIC",GADUS MORHUA,Iceland,S,2019,0
2019FCP-0000024391-344,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,United States,S,2019,0
2019FCP-0000024391-345,Retail - Vente au détail,QC,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-346,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-347,Retail - Vente au détail,QC,"HALIBUT, ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS,Canada,S,2019,0
2019FCP-0000024391-348,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-349,Retail - Vente au détail,QC,"TUNA, PACIFIC BLUEFIN",THUNNUS ORIENTALIS,Canada,S,2019,0
2019FCP-0000024391-350,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-351,Retail - Vente au détail,QC,"FLOUNDER, WITCH",GLYPTOCEPHALUS CYNOGLOSSUS,Canada,U-I,2019,1
2019FCP-0000024391-352,Retail - Vente au détail,QC,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-353,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-354,Retail - Vente au détail,QC,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Sri Lanka,S,2019,0
2019FCP-0000024391-355,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-356,Retail - Vente au détail,QC,"SALMON, ATLANTIC",SALMO SALAR,Canada,S,2019,0
2019FCP-0000024391-357,Retail - Vente au détail,QC,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-358,Retail - Vente au détail,QC,"HALIBUT, ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS,Canada,S,2019,0
2019FCP-0000024391-359,Retail - Vente au détail,QC,"COD, ATLANTIC",GADUS MORHUA,Canada,U-I,2019,1
2019FCP-0000024391-360,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-361,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-362,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-363,Retail - Vente au détail,QC,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-364,Retail - Vente au détail,QC,"BASS, SEA",DICENTRARCHUS LABRAX,Greece,ND-AD,2019,0
2019FCP-0000024391-365,Retail - Vente au détail,QC,"FLOUNDER, YELLOWTAIL",LIMANDA FERRUGINEA,China,S,2019,0
